genus	mean_size_bp	num_genomes
Desulfosediminicola	6202510	2
Desulfosoma	3423351	1
Desulfosporosinus	5145063	11
Desulfosudis	3944167	1
Desulfotalea	3659634	1
Desulfotomaculum	3221829	3
Desulfotruncus	4343192	2
Desulfovermiculus	3242094	1
Desulfovibrio	3288985	44
Desulfovibrionaceae	2655841	1
Desulfovirgula	3060447	1
Desulfovulcanus	2585834	1
Desulfurella	1819427	3
Desulfurispira	2497006	1
Desulfurispirillum	2940685	2
Desulfurivibrio	3097763	1
Desulfurobacterium	1621836	5
Desulfuromonas	3714025	9
Desulfuromusa	3744894	1
Dethiosulfatarculus	5934994	1
Dethiosulfatibacter	4034121	1
Dethiosulfovibrio	2678779	5
Devosia	4202130	59
Devriesea	2958880	1
Dialister	1879522	21
Diaminobutyricibacter	4124400	2
Diaminobutyricimonas	3222608	1
Diaphorobacter	4187651	21
Dichelobacter	1389350	2
Dickeya	4856876	146
Dictyobacter	7209578	1
Dictyoglomus	1862576	4
Dielma	3570803	6
Dietzia	3649231	51
Dinoroseobacter	4488087	3
Diplocloster	5720208	3
Dissulfurimicrobium	2025450	1
Dissulfurispira	2289198	2
Dokdonella	3968908	11
Dokdonia	3743330	15
Dolichospermum	5167439	17
Dolosicoccus	1760148	2
Dolosigranulum	1944404	36
Domibacillus	4230752	6
Donghicola	4687719	1
Dongia	4876453	8
Dongshaea	5112152	1
Dorea	3204650	98
Draconibacterium	5028320	4
Drancourtella	2949896	4
Dubosiella	2088170	64
Duffyella	4500819	4
Duganella	6542024	21
Dulcicalothrix	11418669	2
Duncaniella	2513251	163
Duodenibacillus	2257933	3
Dyadobacter	7178768	31
Dyella	4931298	44
Dysgonomonas	4500170	31
Dysosmobacter	2872292	4
Echinicola	5757737	9
Ectobacillus	4723792	5
Ectopseudomonas	5218776	46
Ectothiorhodosinus	1995195	1
Ectothiorhodospira	3294044	6
Ectothiorhodospiraceae	3515198	2
Edaphobacillus	3052035	1
Edaphobacter	5064209	7
Edaphocola	3695503	1
Edaphovirga	5193810	1
Edwardsiella	3868980	193
Effusibacillus	3937893	3
Eggerthella	3340671	77
Eggerthellaceae	2682364	2
Eggerthia	1933082	2
Egibacter	4637169	1
Egicoccus	3980161	1
Ehrlichia	1377651	36
Eikenella	2253419	13
Eisenbergiella	6887196	25
Eisenibacter	4030713	1
Eleftheria	7032382	1
Elioraea	3933439	5
Elizabethkingia	4078305	223
Elongatibacter	4534041	1
Elstera	3892187	4
Elusimicrobium	1643562	1
Embleya	11368850	18
Emcibacter	3755736	2
Emergencia	4138753	6
Empedobacter	3201227	67
Emticicia	3942947	10
Endobacter	3629288	1
Endobacterium	6136518	1
Endomicrobium	1588979	1
Endozoicomonas	6102931	17
Enemella	4430401	1
Enhydrobacter	4429105	4
